Designator,Mid X,Mid Y,Rotation,Layer
BZ1,191.1,-56.83,90.0,top
C1,196.84,-79.404887,90.0,top
C2,196.82,-84.875112,270.0,top
C3,170.065112,-81.11,0.0,top
C4,170.074887,-87.74,180.0,top
C5,179.75,-75.309999,90.0,top
D1,168.17,-94.95,0.0,top
D2,179.26,-69.175,270.0,top
D3,165.7475,-64.125,180.0,top
D4,165.7475,-61.085,180.0,top
D5,165.7475,-58.045,180.0,top
J1,180.265,-45.805,90.0,top
J2,166.64,-51.82,90.0,top
J3,194.21,-47.3,0.0,top
J5,197.92,-51.075,180.0,top
J6,164.61,-45.99,90.0,top
J7,197.74,-63.515,0.0,top
R1,176.87,-92.14,180.0,top
R2,176.86,-95.3,180.0,top
R3,180.71,-84.5,270.0,top
R4,194.93,-71.52,270.0,top
R5,162.22,-64.11,180.0,top
R6,162.1975,-61.08,0.0,top
R7,162.1875,-58.04,0.0,top
SW1,198.19,-72.08,180.0,top
U1,187.97,-79.36,0.0,top
Y1,175.72,-84.445,270.0,top
